id,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
58,C.V.Raman Nagar,12.9856478,77.6649767,Mast Kalandar,12.98593352,77.66878762,Indian Restaurant
59,C.V.Raman Nagar,12.9856478,77.6649767,Pizza Hut Delivery (PHD),12.98554117,77.66831788,Pizza Place
60,C.V.Raman Nagar,12.9856478,77.6649767,Andhra Mess,12.98154894,77.66609361,Indian Restaurant
61,CMP Centre & School,12.95825135,77.6091222,Football Ground @ Corps of Military Police Center & School,12.95795094,77.60920286,Soccer Field
62,CMP Centre & School,12.95825135,77.6091222,Hercules Sports International,12.95668824,77.60576944,Sporting Goods Shop
63,CMP Centre & School,12.95825135,77.6091222,Cafe Y,12.95813914,77.6051259,Café
64,CMP Centre & School,12.95825135,77.6091222,Confident Propus Hotel,12.95599781,77.6056232,Hotel
65,Doddanekkundi,12.9763947,77.6941175,X-Torque,12.97757018,77.6934827,Motorcycle Shop
66,Doddanekkundi,12.9763947,77.6941175,Jalsa,12.97768337,77.69547553,Indian Restaurant
67,Doddanekkundi,12.9763947,77.6941175,Kabab Magic,12.97870449,77.69553244,Fried Chicken Joint
68,Doddanekkundi,12.9763947,77.6941175,Flechazo,12.97437904,77.69740013,Mediterranean Restaurant
69,Doddanekkundi,12.9763947,77.6941175,Subway,12.9802649,77.69409455,Sandwich Place
70,Doddanekkundi,12.9763947,77.6941175,Cafe Coffee Day,12.97954981,77.69434613,Coffee Shop
71,Doddanekkundi,12.9763947,77.6941175,Lumiere,12.97728007,77.69522948,Restaurant
72,Doddanekkundi,12.9763947,77.6941175,3 Kings Cafe,12.97680845,77.69285897,Café
73,Doddanekkundi,12.9763947,77.6941175,Spice Pavilion,12.97771503,77.69293165,Diner
74,Doddanekkundi,12.9763947,77.6941175,"cinemax, soul space arena",12.97903314,77.69329506,Movie Theater
75,Doddanekkundi,12.9763947,77.6941175,CineMAX,12.97968653,77.69391005,Multiplex
76,Doddanekkundi,12.9763947,77.6941175,Shopper Stop,12.97953753,77.694184,Clothing Store
77,Doddanekkundi,12.9763947,77.6941175,SBX Sports & Music Cafe,12.97957088,77.69453016,Sports Bar
78,Doddanekkundi,12.9763947,77.6941175,Callista Bar & Kitchen,12.98059559,77.69348811,Food
79,Doddanekkundi,12.9763947,77.6941175,Mr. Manchurian,12.98011139,77.69403864,Chinese Restaurant
80,Doddanekkundi,12.9763947,77.6941175,Hind Ka Chulha,12.98029135,77.69347396,Indian Restaurant
81,Doddanekkundi,12.9763947,77.6941175,"PVR, Arena Mall",12.980578,77.694068,Multiplex
82,Doddanekkundi,12.9763947,77.6941175,Spree Hotel,12.97987417,77.6913606,Asian Restaurant
83,Domlur,12.9624669,77.6381958,Lavonne,12.96390892,77.6385791,Café
84,Domlur,12.9624669,77.6381958,Barbeque Nation,12.96268433,77.64159912,BBQ Joint
85,Domlur,12.9624669,77.6381958,Smoke House Deli,12.96558419,77.64149811,Deli / Bodega
86,Domlur,12.9624669,77.6381958,Drops Total Spirits,12.96452694,77.64163609,Liquor Store
87,Domlur,12.9624669,77.6381958,Domino_s Pizza,12.961,77.639,Pizza Place
88,Domlur,12.9624669,77.6381958,Mainland China,12.96245767,77.64172707,Chinese Restaurant
89,Domlur,12.9624669,77.6381958,Harry_s Singapore,12.9644809,77.6416911,Sports Bar
90,Domlur,12.9624669,77.6381958,Tipsy Bull,12.96482411,77.64178306,Pub
91,Domlur,12.9624669,77.6381958,Cafe 42,12.96369835,77.6420392,Café
92,Domlur,12.9624669,77.6381958,Sree Nandhini Palace,12.96198965,77.6418126,Indian Restaurant
93,Domlur,12.9624669,77.6381958,Spaghetti Kitchen,12.9645393,77.6416571,Italian Restaurant
94,Domlur,12.9624669,77.6381958,Rajdhani,12.96383388,77.6416428,Rajasthani Restaurant
95,Domlur,12.9624669,77.6381958,Namdhari_s Fresh,12.96615548,77.63758369,Food & Drink Shop
96,Domlur,12.9624669,77.6381958,Vietnamese Kitchen,12.96645163,77.63733788,Vietnamese Restaurant
97,Domlur,12.9624669,77.6381958,Lakme Studio,12.96414959,77.64015246,Cosmetics Shop
98,Domlur,12.9624669,77.6381958,Subway,12.963812,77.64066031,Sandwich Place
99,Domlur,12.9624669,77.6381958,Srinidhi Sagar,12.95934816,77.63838706,Indian Restaurant
100,Domlur,12.9624669,77.6381958,Troika,12.96513995,77.64174101,Lounge
101,Domlur,12.9624669,77.6381958,Sorbet,12.96356032,77.64221549,Food & Drink Shop
102,Dr. Ambedkar Veedhi,12.9765523,77.5887165,Vidhana Soudha,12.97902709,77.59188123,Capitol Building
103,Dr. Ambedkar Veedhi,12.9765523,77.5887165,Atria Hotel,12.98022696,77.58606747,Hotel
104,Dr. Ambedkar Veedhi,12.9765523,77.5887165,Cubbon Park Library Play Ground,12.97452175,77.59023602,Dog Run
105,Dr. Ambedkar Veedhi,12.9765523,77.5887165,1498 AD,12.98015751,77.58619004,Indian Restaurant
106,EPIP,12.9776727,77.72220003,The Egg Factory,12.97718424,77.72484142,Breakfast Spot
107,EPIP,12.9776727,77.72220003,Cold Stone Creamery,12.976622,77.726133,Ice Cream Shop
108,EPIP,12.9776727,77.72220003,Suryawanshi_s,12.97717047,77.72491175,Maharashtrian Restaurant
109,EPIP,12.9776727,77.72220003,Galito_s,12.978874,77.722368,Fried Chicken Joint
110,EPIP,12.9776727,77.72220003,Mast Kalandar,12.97720585,77.72486778,Indian Restaurant
111,EPIP,12.9776727,77.72220003,Accenture B6 Tower B Cafeteria,12.9744744,77.72061426,Cafeteria
112,EPIP,12.9776727,77.72220003,Ginger Hotel,12.97706447,77.71854557,Hotel
113,EPIP,12.9776727,77.72220003,Addict - Juice Bars,12.97934154,77.726103,Salad Place
114,Hoodi,12.9919033,77.7162015,Srinidhi Sagar,12.99163768,77.72047995,Indian Restaurant
115,Hoodi,12.9919033,77.7162015,Kamat Yatrinivas,12.98962417,77.71307381,Indian Restaurant
116,Hoodi,12.9919033,77.7162015,Dakshin Veg,12.99168426,77.72040186,Breakfast Spot
117,Hoodi,12.9919033,77.7162015,Bhakti Locator,12.99583401,77.71419525,Yoga Studio
118,Horamavu,13.0273312,77.6601508,OMBR Park,13.02659776,77.65901222,Park
119,Horamavu,13.0273312,77.6601508,the junction,13.025172,77.660095,Chinese Restaurant
120,Horamavu,13.0273312,77.6601508,Altis Arena - Indoor badminton courts,13.02988243,77.66133423,Athletics & Sports
121,Horamavu,13.0273312,77.6601508,The Other Place,13.02468728,77.65869344,Indian Restaurant
122,Horamavu,13.0273312,77.6601508,HDFC Bank,13.023219,77.65838,ATM
123,Indiranagar Bangalore,12.9732913,77.6404672,Vero Moda,12.97280753,77.6412246,Boutique
124,Indiranagar Bangalore,12.9732913,77.6404672,Sri Udupi Park,12.97361695,77.64110378,Udupi Restaurant
125,Indiranagar Bangalore,12.9732913,77.6404672,Krispy Kreme Doughnuts,12.97009433,77.64067092,Bakery
126,Indiranagar Bangalore,12.9732913,77.6404672,Smoor Chocolates by Bliss,12.96991287,77.6412833,Chocolate Shop
127,Indiranagar Bangalore,12.9732913,77.6404672,Mamagoto,12.97011345,77.63917317,Asian Restaurant
128,Indiranagar Bangalore,12.9732913,77.6404672,The Black Rabbit,12.96989102,77.64125115,Pub
129,Indiranagar Bangalore,12.9732913,77.6404672,Corner House,12.96997259,77.63745267,Ice Cream Shop
130,Indiranagar Bangalore,12.9732913,77.6404672,Chianti Ristorante & Wine Bar,12.97016682,77.64034562,Italian Restaurant
131,Indiranagar Bangalore,12.9732913,77.6404672,eclipse lounge,12.97369498,77.64400073,Lounge
132,Indiranagar Bangalore,12.9732913,77.6404672,Phobidden Fruit,12.96995927,77.63961973,Vietnamese Restaurant
133,Indiranagar Bangalore,12.9732913,77.6404672,Bite Me Cupcakes,12.9707113,77.64131051,Cupcake Shop
134,Indiranagar Bangalore,12.9732913,77.6404672,LOFT 38,12.97116666,77.64120279,Lounge
135,Indiranagar Bangalore,12.9732913,77.6404672,Creme & Crust,12.97495592,77.64108736,Café
136,Indiranagar Bangalore,12.9732913,77.6404672,Stoner,12.9763627,77.64118809,Dessert Shop
137,Indiranagar Bangalore,12.9732913,77.6404672,Cream Centre,12.9714483,77.64118125,Indian Restaurant
138,Indiranagar Bangalore,12.9732913,77.6404672,The Humming Tree - Music Venue and Bar,12.97012459,77.6391612,Music Venue
139,Indiranagar Bangalore,12.9732913,77.6404672,Mother Cluckers,12.97017612,77.64024335,Restaurant
140,Indiranagar Bangalore,12.9732913,77.6404672,Take 5,12.97555393,77.64118446,Pub
141,Indiranagar Bangalore,12.9732913,77.6404672,Bliss Chocolate Lounge,12.9705698,77.64204864,Cupcake Shop
142,Indiranagar Bangalore,12.9732913,77.6404672,Red Fork,12.97031355,77.64278881,Café
143,Indiranagar Bangalore,12.9732913,77.6404672,1131 Bar N Kitchen,12.96991557,77.64134445,Cocktail Bar
144,Indiranagar Bangalore,12.9732913,77.6404672,Namdhari_s Fresh,12.97020821,77.64078501,Grocery Store
145,Indiranagar Bangalore,12.9732913,77.6404672,Loft38 Lounge,12.97127958,77.64117495,Cocktail Bar
146,Indiranagar Bangalore,12.9732913,77.6404672,Breadworks,12.97381455,77.64198674,Bakery
147,Indiranagar Bangalore,12.9732913,77.6404672,Doff Pub,12.97738196,77.64081675,Pub
148,Indiranagar Bangalore,12.9732913,77.6404672,The People_s Art Cafe,12.97384026,77.64218289,Café
149,Indiranagar Bangalore,12.9732913,77.6404672,Bricklane Grill,12.96991956,77.64109338,Restaurant
150,Indiranagar Bangalore,12.9732913,77.6404672,Daddy_s Deli,12.97032819,77.64279601,Deli / Bodega
151,Indiranagar Bangalore,12.9732913,77.6404672,Vapour - Pub and Brewery,12.96940004,77.64126771,Brewery
152,Indiranagar Bangalore,12.9732913,77.6404672,Roadhouse,12.97673103,77.64090116,Gastropub
153,Indiranagar Bangalore,12.9732913,77.6404672,Kim Lee,12.97363256,77.63591296,Chinese Restaurant
154,Indiranagar Bangalore,12.9732913,77.6404672,B Flat,12.96885872,77.64110988,Lounge
155,Indiranagar Bangalore,12.9732913,77.6404672,Mama Mia Gelato,12.97392451,77.64319347,Ice Cream Shop
156,Indiranagar Bangalore,12.9732913,77.6404672,Jimi_s Beer Cafe,12.97007265,77.63848661,Pub
157,Indiranagar Bangalore,12.9732913,77.6404672,Hangover,12.97007792,77.63839881,Lounge
158,Indiranagar Bangalore,12.9732913,77.6404672,The Only Place,12.97384518,77.64455249,Steakhouse
159,Indiranagar Bangalore,12.9732913,77.6404672,High Note Bar and Dining,12.96888314,77.64116267,Diner
160,Indiranagar Bangalore,12.9732913,77.6404672,Chili_s Grill & Bar,12.96923672,77.64141442,Tex-Mex Restaurant
161,Indiranagar Bangalore,12.9732913,77.6404672,Esplanade,12.969199,77.64147271,Indian Restaurant
162,Indiranagar Bangalore,12.9732913,77.6404672,Snap Fitness,12.97021384,77.64340306,Gym
163,Indiranagar Bangalore,12.9732913,77.6404672,Terrazzo,12.96933704,77.64140372,Italian Restaurant
164,Indiranagar Bangalore,12.9732913,77.6404672,SLAM Lifestyle and Fitness Studio,12.9703287,77.64339124,Gym / Fitness Center
165,Kadugodi,12.9985767,77.7609716,Sunil Mess,12.9991,77.7598,Restaurant
166,Kadugodi,12.9985767,77.7609716,Kadugodi BBMP Park,12.99775887,77.76061105,Park
167,Kadugodi,12.9985767,77.7609716,Whitefield Railway Station,12.99653363,77.76148269,Train Station
168,Kadugodi,12.9985767,77.7609716,Whitefield Railway Colony Ground,12.99630029,77.76166708,Playground
169,Kadugodi,12.9985767,77.7609716,White Field railway station,12.99636334,77.75987909,Platform
170,Kadugodi,12.9985767,77.7609716,Pragathi Gym,12.99668598,77.76340485,Gym
171,Kadugodi,12.9985767,77.7609716,BMTC Bus Station - KADUGODI,12.99559108,77.75838721,Bus Station
172,Kadugodi,12.9985767,77.7609716,Sai Ramesh Hall,12.99626329,77.75742614,Music Venue
173,Kadugodi,12.9985767,77.7609716,Sri Sai Krishna Kerala Hotel,12.99821472,77.75640869,Indian Restaurant
174,Kothanur,13.0613601,77.6493895,Hill Station Cafe,13.06494032,77.64663224,Coffee Shop
175,Kothanur,13.0613601,77.6493895,Domino_s Pizza,13.064,77.65,Pizza Place
176,Kothanur,13.0613601,77.6493895,Subway,13.06467959,77.65179079,Sandwich Place
177,Kothanur,13.0613601,77.6493895,Uttam Sagar Gardenia,13.059518,77.64852,Restaurant
178,Kothanur,13.0613601,77.6493895,The Big Market,13.06382606,77.65087472,Grocery Store
179,Kothanur,13.0613601,77.6493895,Just Bake,13.06388564,77.65104532,Bakery
180,Kothanur,13.0613601,77.6493895,Table King,13.063723,77.651434,Mediterranean Restaurant
181,Kothanur,13.0613601,77.6493895,The King_s Table,13.063918,77.65157,Italian Restaurant
182,Kothanur,13.0613601,77.6493895,Koel_s Pizza,13.064777,77.651808,Pizza Place
183,Kothanur,13.0613601,77.6493895,Cubo Fitness,13.06492292,77.65194118,Gym / Fitness Center
184,Kothanur,13.0613601,77.6493895,Lulu Value Mart,13.06500977,77.65189237,Convenience Store
185,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,McDonald_s,12.99949901,77.67549792,Fast Food Restaurant
186,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,MMA Kabab Centre,12.9994563,77.67368317,Indian Restaurant
187,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,Pushpanjali Theater,12.99801521,77.6752441,Movie Theater
188,"Krishnarajapuram R S,Krishnarajapuram",13.0005089,77.6753945,Krishnarajapuram (KR Puram) Railway Station,13.00031874,77.67582783,Train Station
189,Kundalahalli,12.9684441,77.7187843,"Lemon Tree Hotel, Whitefield, Bengaluru",12.97239038,77.71787537,Hotel
190,Kundalahalli,12.9684441,77.7187843,Kesar,12.96481984,77.71740609,Dessert Shop
191,Kundalahalli,12.9684441,77.7187843,Chef Bakers,12.967194,77.71659534,Bakery
192,Kundalahalli,12.9684441,77.7187843,Taco Bell,12.96590607,77.71824441,Fast Food Restaurant
193,Kundalahalli,12.9684441,77.7187843,McDonald_s,12.96715649,77.71677173,Fast Food Restaurant
194,Kundalahalli,12.9684441,77.7187843,MK Retail,12.97067055,77.7189374,Department Store
195,Kundalahalli,12.9684441,77.7187843,SBX Sports Bar,12.9657908,77.71809499,Sports Bar
196,Kundalahalli,12.9684441,77.7187843,Talwalkars Gym,12.96561743,77.718289,Gym
197,Kundalahalli,12.9684441,77.7187843,Double Roti,12.967459,77.714903,Gastropub
198,Lingarajapuram,13.0117678,77.6278288,Giselle,13.014234,77.628815,Café
199,Lingarajapuram,13.0117678,77.6278288,Smally_s RestoCafe,13.01534955,77.63011724,Burger Joint
200,Lingarajapuram,13.0117678,77.6278288,Honest Bakery,13.01536841,77.63049204,Bakery
201,Lingarajapuram,13.0117678,77.6278288,Mahadii_s,13.015408,77.63045,Andhra Restaurant
202,Mahadevapura,12.9934976,77.6924156,VR Bengaluru,12.99609462,77.69539315,Shopping Mall
203,Mahadevapura,12.9934976,77.6924156,PVR IMAX VR Bangalore,12.9961943,77.69536253,Movie Theater
204,Mahadevapura,12.9934976,77.6924156,Toscano,12.99594191,77.69579542,Italian Restaurant
205,Mahadevapura,12.9934976,77.6924156,The Irish House,12.99616237,77.69503542,Bar
206,Mahadevapura,12.9934976,77.6924156,Starbucks,12.99612197,77.69537688,Coffee Shop
207,Mahadevapura,12.9934976,77.6924156,Starbucks,12.99578338,77.69626737,Coffee Shop
208,Mahadevapura,12.9934976,77.6924156,Lifestyle,12.995831,77.696292,Clothing Store
209,Mahadevapura,12.9934976,77.6924156,PVR  PREMIER VR,12.9961223,77.69542359,Multiplex
210,Mahadevapura,12.9934976,77.6924156,Nasi and Mee,12.99628582,77.69520139,Noodle House
211,Mahadevapura,12.9934976,77.6924156,Happy Land Supermarket,12.99155797,77.69092451,Convenience Store
212,Mahadevapura,12.9934976,77.6924156,Café Noir,12.99612616,77.69525986,French Restaurant
213,Mahadevapura,12.9934976,77.6924156,"PVR Gold, VR Bengaluru",12.993301,77.695419,Movie Theater
214,Mahadevapura,12.9934976,77.6924156,Pheonix Market City - Barley,12.99617839,77.69368083,American Restaurant
215,Mahadevapura,12.9934976,77.6924156,Taco Bell,12.993259,77.695655,Fast Food Restaurant
216,Mahadevapura,12.9934976,77.6924156,Hanoi,12.99570058,77.69624738,Vietnamese Restaurant
217,Mahadevapura,12.9934976,77.6924156,Soch,12.99707578,77.69074,Women_s Store
218,Mahatma Gandhi Road,12.9730154,77.6166123,The Oberoi,12.97345733,77.6182885,Hotel
219,Mahatma Gandhi Road,12.9730154,77.6166123,Teppan,12.97572686,77.6168786,Japanese Restaurant
220,Mahatma Gandhi Road,12.9730154,77.6166123,Vivanta by Taj,12.97336529,77.61995067,Hotel
221,Mahatma Gandhi Road,12.9730154,77.6166123,Foodhall,12.97348569,77.62011699,Department Store
222,Mahatma Gandhi Road,12.9730154,77.6166123,Yauatcha,12.97331776,77.62007164,Asian Restaurant
223,Mahatma Gandhi Road,12.9730154,77.6166123,Häagen-Dazs,12.97301773,77.61991383,Ice Cream Shop
224,Mahatma Gandhi Road,12.9730154,77.6166123,Starbucks,12.972374,77.618546,Coffee Shop
225,Mahatma Gandhi Road,12.9730154,77.6166123,Marks & Spencer,12.9732723,77.62016592,Clothing Store
226,Mahatma Gandhi Road,12.9730154,77.6166123,i-BAR,12.97382283,77.61932763,Hotel Bar
227,Mahatma Gandhi Road,12.9730154,77.6166123,Portland Steakhouse & Cafe,12.97028195,77.61477904,Steakhouse
228,Mahatma Gandhi Road,12.9730154,77.6166123,Benjarong,12.97561524,77.61691627,Thai Restaurant
229,Mahatma Gandhi Road,12.9730154,77.6166123,Ice Bar,12.97355444,77.61995934,Bar
230,Mahatma Gandhi Road,12.9730154,77.6166123,Ente Keralam,12.97556926,77.61694306,Indian Restaurant
231,Mahatma Gandhi Road,12.9730154,77.6166123,Le Jardin,12.97356236,77.61786429,French Restaurant
232,Mahatma Gandhi Road,12.9730154,77.6166123,Cafe Mozaic,12.97364183,77.6197624,Restaurant
233,Mahatma Gandhi Road,12.9730154,77.6166123,Chaipatty ulsoor,12.97606052,77.61533823,Tea Room
234,Mahatma Gandhi Road,12.9730154,77.6166123,Rim Naam,12.97358047,77.61789371,Asian Restaurant
235,Mahatma Gandhi Road,12.9730154,77.6166123,Marzipan Cafe & Bakery,12.97477568,77.61946514,Mediterranean Restaurant
236,Mahatma Gandhi Road,12.9730154,77.6166123,Aqua,12.97376117,77.61920358,Nightclub
237,Mahatma Gandhi Road,12.9730154,77.6166123,Graze,12.97351086,77.61993664,Modern European Restaurant
238,Mahatma Gandhi Road,12.9730154,77.6166123,Tandoor,12.9738192,77.61324726,Indian Restaurant
239,Mahatma Gandhi Road,12.9730154,77.6166123,Being Human,12.97277885,77.62006993,Clothing Store
240,Mahatma Gandhi Road,12.9730154,77.6166123,Szechwan Court,12.97351121,77.61808187,Chinese Restaurant
241,Mahatma Gandhi Road,12.9730154,77.6166123,Chai Point,12.97321149,77.61680163,Café
242,Mahatma Gandhi Road,12.9730154,77.6166123,Monsoon @ The Park,12.97369661,77.61963524,Diner
243,Mahatma Gandhi Road,12.9730154,77.6166123,Pinxx,12.97491378,77.61531378,Restaurant
244,Mahatma Gandhi Road,12.9730154,77.6166123,Domino_s Pizza,12.973,77.617,Pizza Place
245,Mahatma Gandhi Road,12.9730154,77.6166123,Carnival-De-Goa,12.97494056,77.62009617,Seafood Restaurant
246,Mahatma Gandhi Road,12.9730154,77.6166123,The Coffee Bean & Tea Leaf,12.97346886,77.620079,Café
247,Mahatma Gandhi Road,12.9730154,77.6166123,The Tao Terraces,12.97337205,77.62034885,Thai Restaurant
248,Mahatma Gandhi Road,12.9730154,77.6166123,The Bombay Store,12.97330185,77.61996923,Arts & Crafts Store
249,Mahatma Gandhi Road,12.9730154,77.6166123,The Grill House,12.97488669,77.62008667,Steakhouse
250,Mahatma Gandhi Road,12.9730154,77.6166123,Taj Residency,12.97319955,77.61967272,Hotel
251,Mahatma Gandhi Road,12.9730154,77.6166123,1 MG Road,12.97347602,77.62013653,Shopping Mall
252,Mahatma Gandhi Road,12.9730154,77.6166123,Memories Of China,12.97310091,77.61991146,Chinese Restaurant
253,Mahatma Gandhi Road,12.9730154,77.6166123,TGI Fridays,12.97271421,77.61972867,American Restaurant
254,Mahatma Gandhi Road,12.9730154,77.6166123,Fort Kochi,12.97364038,77.61984615,Kerala Restaurant
255,Mahatma Gandhi Road,12.9730154,77.6166123,The Park Hotel,12.97373919,77.61976619,Hotel
256,Mahatma Gandhi Road,12.9730154,77.6166123,Oxford book store,12.97341954,77.62011878,Bookstore
257,Mahatma Gandhi Road,12.9730154,77.6166123,The Body Shop,12.97325526,77.61998042,Cosmetics Shop
258,Mahatma Gandhi Road,12.9730154,77.6166123,Bangalore Airport Customs,12.97380527,77.61994126,Airport
259,Mahatma Gandhi Road,12.9730154,77.6166123,Promod,12.97321272,77.6202098,Women_s Store
260,Mahatma Gandhi Road,12.9730154,77.6166123,Cafe Felix,12.97390366,77.62033903,Restaurant
261,Maruthi Sevanagar,13.0026552,77.6347376,Orion East,13.00154722,77.63261859,Shopping Mall
262,Maruthi Sevanagar,13.0026552,77.6347376,Cinépolis,13.00144082,77.63261546,Multiplex
263,Maruthi Sevanagar,13.0026552,77.6347376,McDonald_s,13.0030758,77.6316444,Fast Food Restaurant
